날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 01,서울 강남구 ,강남구,111261,0.005,0.5,0.005,0.047,60,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 02,서울 강남구 ,강남구,111261,0.006,0.5,0.003,0.045,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 03,서울 강남구 ,강남구,111261,0.005,0.5,0.002,0.044,54,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 04,서울 강남구 ,강남구,111261,0.005,0.5,0.002,0.041,53,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 05,서울 강남구 ,강남구,111261,0.005,0.4,0.006,0.032,48,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 06,서울 강남구 ,강남구,111261,0.005,0.4,0.013,0.025,52,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 07,서울 강남구 ,강남구,111261,0.005,0.3,0.023,0.027,38,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 08,서울 강남구 ,강남구,111261,0.005,0.3,0.032,0.023,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 09,서울 강남구 ,강남구,111261,0.005,0.4,0.031,0.027,41,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 10,서울 강남구 ,강남구,111261,0.005,0.3,0.035,0.025,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 11,서울 강남구 ,강남구,111261,0.004,0.3,0.041,0.025,47,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 12,서울 강남구 ,강남구,111261,0.005,0.3,0.044,0.023,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 13,서울 강남구 ,강남구,111261,0.004,0.3,0.055,0.016,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 14,서울 강남구 ,강남구,111261,0.005,0.3,0.068,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 15,서울 강남구 ,강남구,111261,0.005,0.3,0.075,0.019,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01 16,서울 강남구 ,강남구,111261,0,0,0,0,36,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
